beer/name,beer/beerId,beer/brewerId,beer/ABV,beer/style,review/appearance,review/aroma,review/palate,review/taste,review/overall,review/time,review/profileName,review/text
John Harvards Simcoe IPA,63836,8481,5.4,India Pale Ale &#40;IPA&#41;,4/5,6/10,3/5,6/10,13/20,1157587200,hopdog,"On tap at the Springfield, PA location. Poured a deep and cloudy orange (almost a copper) color with a small sized off white head. Aromas or oranges and all around citric. Tastes of oranges, light caramel and a very light grapefruit finish. I too would not believe the 80+ IBUs - I found this one to have a very light bitterness with a medium sweetness to it. Light lacing left on the glass."
John Harvards Simcoe IPA,63836,8481,5.4,India Pale Ale &#40;IPA&#41;,4/5,6/10,4/5,7/10,13/20,1157241600,TomDecapolis,"On tap at the John Harvards in Springfield PA.  Pours a ruby red amber with a medium off whie creamy head that left light lacing.  Aroma of orange and various other citrus.  A little light for what I was expecting from this beers aroma...expecting more from the Simcoe.  Flavor of pine, orange, grapefruit and some malt balance.  Very light bitterness for the 80+ IBUs they said this one had."
John Harvards Cristal Pilsner,71716,8481,5,Bohemian Pilsener,4/5,5/10,3/5,6/10,14/20,958694400,PhillyBeer2112,"UPDATED: FEB 19, 2003 Springfield, PA. I've never had the Budvar Cristal but this is exactly what I imagined it to be.  A clean and refreshing, hoppy beer, med bodied with plenty of flavor.  This beer's only downfall is an unpleasant bitterness in the aftertaste."
John Harvards Fancy Lawnmower Beer,64125,8481,5.4,Klsch,2/5,4/10,2/5,4/10,8/20,1157587200,TomDecapolis,"On tap the Springfield PA location billed as the ""Fancy Lawnmower Light"".  Pours a translucent clear yellow with a small bubbly white head.  Aroma was lightly sweet and malty, really no hop presence.  Flavor was light, grainy, grassy and malty.  Just really light in flavor and aroma overall. Watery."
John Harvards Fancy Lawnmower Beer,64125,8481,5.4,Klsch,2/5,4/10,2/5,4/10,8/20,1157587200,hopdog,"On tap at the Springfield, PA location. Poured a lighter golden color with a very small, if any head. Aromas and tastes of grain, very lightly fruity with a light grassy finish. Lively yet thin and watery body. Oh yeah, the person seating me told me this was a new one and was a Pale Ale even though the menu he gave me listed it as a lighter beer brewed in the Kolsh style."
John Harvards Vanilla Black Velvet Stout,31544,8481,-,Sweet Stout,5/5,8/10,4/5,7/10,16/20,1077753600,egajdzis,"Springfield, PA location... Poured an opaque black color with a creamy tan head and nice lacing.  Strong vanilla and roasted malt aroma.  Creamy taste of coffee, chocolate and vanilla. The bartender told me this was an imperial stout at about 8%.  She didn't convince me, there was no alcohol to be found, and it was sweet as hell!  But still good."
John Harvards American Brown Ale,71714,8481,-,Brown Ale,4/5,5/10,3/5,6/10,12/20,1176076800,hopdog,"On tap at the Springfield, PA location. Listed on the beer menu as ""James Brown Ale"". Had the regular and cask version. Poured a deep brown color with an averaged sized off white head (cask had a huge head). Ill stop on the cask version here as I found it to smell and taste like buttered popcorn. The regular had aromas of nuts, light chocolate, and roast. Taste of chocolate, nuts, very light roast and caramel.	 Tasted on 9/7/2006 and moved over as part of the John Harvard clean up."
John Harvards Grand Cru,71719,8481,7,Belgian Ale,2/5,6/10,3/5,7/10,14/20,1107302400,JFGrind,"Sampled @ the Springfield, PA location.   Candi Sugar dominates this Belgian Ale.  Beer was on the flat side but had a nice crimson color.   Enjoyable Belgian Ale, I did not expect John Harvards to have it in its line-up."
John Harvards Grand Cru,71719,8481,7,Belgian Ale,4/5,8/10,3/5,7/10,16/20,1102896000,egajdzis,"Springfield... Poured a hazy copper color with a medium sized, off white head that left spotty lacing on the glass.  Aroma of yeast, dried fruits, clove, banana, and cherries, with light roastiness.  Aroma was very dubbelish.  Herbal taste of dark fruits, yeast and alcohol was barely noticed.  Slick mouthfeel.  Could have been more flavorful."
John Harvards Grand Cru,71719,8481,7,Belgian Ale,3/5,8/10,4/5,8/10,17/20,996105600,PhillyBeer2112,"UPDATED: FEB 19, 2003 Springfield, PA. Darkish copper colored, with no head -	probably poured like that on purpose.	Served inappropriately at about 40 deg	F.  This beer was cold.  It tasted	fine at that temp but I had to let it warm up 	for awhile.  It was worth the wait, as a	very interesting and complex character developed.	Very phenolic and funky - with a strong ester of	bubblegum.  Also a little clove or some kind of 	spice.  Strong but not overwhelming at all.  Surpisingly	easy to drink."
John Harvards Belgian Tripel,71715,8481,8.5,Abbey Tripel,4/5,4/10,2/5,5/10,11/20,958694400,PhillyBeer2112,"UPDATED: FEB 19, 2003 Springfield, PA. Sharp and cloyingly sweet.  The alcohol presence becomes more and more noticeable."
John Harvards Cassis Wit,1470,8481,-,Belgian White &#40;Witbier&#41;,3/5,5/10,3/5,7/10,14/20,958694400,PhillyBeer2112,"UPDATED: FEB 19, 2003 Springfield, PA. Interesting example.  The fruit flavors are very apparent, but the natural mildness of the currants keep the sweetness in check.  These flavors blend well with the white beer base."
John Harvards Dr. Jekyll and Mr. Mild,7721,8481,3.8,Mild Ale,4/5,5/10,4/5,7/10,14/20,990576000,PhillyBeer2112,"From Springfield PA:  nice smooth	malty flavor, mildy fruity, but served	via nitro and thru a restrictor disc	(stout tap).  Thus, overly creamy and lacking	some of its original flavor.  I could tell there	was a pretty good beer in there.  Aroma difficult	to detect."
John Harvards Yin Yang Lager,64126,8481,4.5,Pale Lager,3/5,6/10,3/5,6/10,12/20,1157587200,TomDecapolis,"On tap at Springfield location.  Pours a translucent golden amber with really no head.  Aroma of caramel, grains and light hops.  Flavor was malty with a light hop presence.  Really kind of non-descript overall."
John Harvards Yin Yang Lager,64126,8481,4.5,Pale Lager,3/5,5/10,2/5,5/10,9/20,1157587200,hopdog,"On tap at the Springfield, PA location. Poured a medium and see through orange color with a small sized off white head. Aromas and tastes on the weak side and contained some citrus, caramel, and grains. Body was thin and watery."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,4/5,8/10,4/5,8/10,15/20,1249257600,JJClark,"Handbottled from trade wth Sprinkle. Pours a nice dark copper color with medium size off white head. Aroma of bourbon, malt , hops and oak. Slight smokey flavor with a bourbon taste in the initial sip. Flavors of malt, vanilla and hops still remain although none dominate the brew. Taste is still very enjoyable with a smooth and balanced finish."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,4/5,8/10,4/5,8/10,15/20,1245283200,CaptainCougar,"On tap at the Great Taste of the Midwest (8/9/08): Pours a transparent bright copper orange with an airy white head.  Aroma of sweet toasty pale malt and sweet light fruitiness with a good resiny piny hop character.  Body starts with decent fullness and sweet caramel malts with good balance of hop flavor and bitterness.  Finishes smooth and bittersweet, nicely aged and balanced."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,3/5,7/10,3/5,6/10,14/20,1232841600,StFun,"UPDATED: JUL 7, 2009 On tap. Interesting experiment, but I liked regular Hopula better. Pours a dark amber with an off white head. Aroma is slightly wood and hops, but mostly bourbon. Flavor is everything I loved about Hopula, but with too much booze. Some nice vanilla notes, but bourbon constantly overpowers the Hopula. Just not my style, but would be very interesting if they reused the barrels."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,4/5,5/10,4/5,4/10,13/20,1222646400,MI2CA,"On cask at BI - Aroma of the Hopula Play-Doh hops and malt with lots of oak, vanilla and bourbon.  Pours dark mahogany with a medium lasting head and great lacing.  Flavor is strong bourbon, too strong.  The base beer is hidden under there somewhere but is way overpowered.  I had trouble getting it down to be honest."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,3/5,6/10,3/5,6/10,12/20,1219536000,vyvvy,GTMW 08 on cask - Pours bronze orang with a minimal head.  The aroma has lots of vanilla and some bourbon and toasty malt.  Medium sticky body with light carbonation.  The flavor starts with the aroma traits with more caramel malt and earthy hops.  The finish has vanilla and okay dominating everything.  This kind of beer is just not down my alley.
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,3/5,7/10,3/5,7/10,13/20,1219017600,kp,"Name: BA Count Hopula	Date: 08/09/2008	Mode: Draft	Source: Brewfest, Great Taste		Appearance: clear amber, frothy beige head, 	Aroma: sweet caramel malt aroma with liquid hops, 	Flavor: sweet bourbon flavor, vanilla sweetness, light balancing hops, 	Overall: a pale bourbon ale, 		Aroma: 7/10; Appearance: 6/10; Flavor: 7/10; Palate: 6/10; Overall: 13/20	Rating: 3.3/5.0Drinkability: 7/10	Score: **+/4"
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,3/5,7/10,3/5,7/10,14/20,1218758400,xmarcnolanx,"Aroma is sweet bourbon vanilla. Taste is sweet, hoppy, dank, and vanilla.  	Flavor was sweet, and earthy, as Ughsmash mentions.  	Scant notes as I was not impressed."
Barley Island Barrel-Aged Count Hopula,91592,3228,8,Imperial/Double IPA,3/5,6/10,3/5,7/10,13/20,1218499200,Ughsmash,"Cask at GTMW.  Poured coppery-amber with a loose cap of beige head.  The aroma picked up an interesting interplay of juicy floral notes, sweet bourbon, and vanilla.. unfortunately interesting in a way that they didnt really go together.. muted the IIPA-ness greatly.  The flavor was on the sweet side with restrained floral and earthy bitterness (likely due to aging).. lots of barrel again with sour bourbon and oak all over.. finished bourbon-ey with even more barrel.  Too sour on the palate, again with too much of the barrel."
